Timestamp: 2024-03-21T07:22:26.645Z, Maker Highest Bid: 9071, Taker Lowest Ask: 67246.72, Profitability: 6.413374490133393, Maker Latency: 82ms, Taker Latency: 276ms
Timestamp: 2024-03-21T07:22:26.787Z, Maker Highest Bid: 9071, Taker Lowest Ask: 67246.72, Profitability: 6.413374490133393, Maker Latency: 79ms, Taker Latency: 276ms
Timestamp: 2024-03-21T07:22:27.138Z, Maker Highest Bid: 9071, Taker Lowest Ask: 67246.72, Profitability: 6.413374490133393, Maker Latency: 380ms, Taker Latency: 276ms
Timestamp: 2024-03-21T07:22:28.442Z, Maker Highest Bid: 9071, Taker Lowest Ask: 67246.72, Profitability: 6.413374490133393, Maker Latency: 185ms, Taker Latency: 276ms
Timestamp: 2024-03-21T07:22:29.115Z, Maker Highest Bid: 9071, Taker Lowest Ask: 67246.72, Profitability: 6.413374490133393, Maker Latency: 68ms, Taker Latency: 276ms
Timestamp: 2024-03-21T07:22:29.349Z, Maker Highest Bid: 9071, Taker Lowest Ask: 67237.84, Profitability: 6.412395546246279, Maker Latency: 68ms, Taker Latency: 129ms
Timestamp: 2024-03-21T07:22:29.446Z, Maker Highest Bid: 9071, Taker Lowest Ask: 67237.84, Profitability: 6.412395546246279, Maker Latency: 133ms, Taker Latency: 129ms
Timestamp: 2024-03-21T07:22:29.687Z, Maker Highest Bid: 9071, Taker Lowest Ask: 67243.97, Profitability: 6.4130713262043875, Maker Latency: 133ms, Taker Latency: 126ms
Timestamp: 2024-03-21T07:22:29.774Z, Maker Highest Bid: 9069.5, Taker Lowest Ask: 67243.97, Profitability: 6.414297370307073, Maker Latency: 266ms, Taker Latency: 126ms
Timestamp: 2024-03-21T07:22:30.473Z, Maker Highest Bid: 9069.5, Taker Lowest Ask: 67247.74, Profitability: 6.414713049230939, Maker Latency: 266ms, Taker Latency: 565ms
Timestamp: 2024-03-21T07:22:30.481Z, Maker Highest Bid: 9069.5, Taker Lowest Ask: 67247.74, Profitability: 6.414713049230939, Maker Latency: 495ms, Taker Latency: 565ms
